packet_id,review_order,entity_id,entity_type,display_name,review_status,review_bucket,source_ref_count,non_manual_source_count,manual_note_source_count,evidence_record_count,total_chunk_count,case_observation_count,source_refs,source_paths,parsed_paths,cleaned_paths,chunk_sample_ids,review_checklist,suggested_action,generated_by
packet_mechanism_aspa_path_verification,1,mechanism_aspa_path_verification,RoutingMechanism,ASPA Path Verification,approved,ready_without_manual_note,2,2,0,2,16,0,arin_aspa_doc|ripe_aspa_doc,raw/data_docs/arin_aspa_doc.html|raw/data_docs/ripe_aspa_doc.html,parsed/data_docs/arin_aspa_doc.json|parsed/data_docs/ripe_aspa_doc.json,cleaned/data_docs/arin_aspa_doc.md|cleaned/data_docs/ripe_aspa_doc.md,arin_aspa_doc_s001_full_001|arin_aspa_doc_s001_full_004|arin_aspa_doc_s001_full_002|arin_aspa_doc_s001_full_003|arin_aspa_doc_s001_full_005|ripe_aspa_doc_s001_full_007|ripe_aspa_doc_s001_full_008|ripe_aspa_doc_s001_full_010|ripe_aspa_doc_s001_full_009|ripe_aspa_doc_s001_full_001|ripe_aspa_doc_s001_full_006|ripe_aspa_doc_s001_full_002|ripe_aspa_doc_s001_full_003|ripe_aspa_doc_s001_full_004|ripe_aspa_doc_s001_full_005|ripe_aspa_doc_s001_full_011,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_mechanism_bgp_decision_process,2,mechanism_bgp_decision_process,RoutingMechanism,BGP Decision Process,approved,ready_without_manual_note,1,1,0,1,129,0,rfc4271,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,rfc4271_s060_9_1_001|rfc4271_s031_5_1_4_001|rfc4271_s021_2_001|rfc4271_s062_9_1_2_001|rfc4271_s073_9_2_2_2_001|rfc4271_s006_1_1_002|rfc4271_s011_3_2_001|rfc4271_s061_9_1_1_001|rfc4271_s063_9_1_2_1_001|rfc4271_s064_9_1_2_2_003|rfc4271_s065_9_1_3_001|rfc4271_s066_9_1_4_001|rfc4271_s032_5_1_5_001|rfc4271_s059_9_001|rfc4271_s058_8_2_2_010|rfc4271_s072_9_2_2_1_001|rfc4271_s075_9_4_001|rfc4271_s005_1_001|rfc4271_s067_9_2_001|rfc4271_s068_9_2_1_001,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_mechanism_rib_model,3,mechanism_rib_model,RoutingMechanism,BGP RIB Model,approved,ready_without_manual_note,3,3,0,3,136,0,rfc4271|ripe_ris_raw_data|routeviews_archive_index,raw/data_docs/ripe_ris_raw_data.html|raw/data_docs/routeviews_archive_index.html|raw/standards/rfc4271.txt,parsed/data_docs/ripe_ris_raw_data.json|parsed/data_docs/routeviews_archive_index.json|parsed/standards/rfc4271.json,cleaned/data_docs/ripe_ris_raw_data.md|cleaned/data_docs/routeviews_archive_index.md|cleaned/standards/rfc4271.md,rfc4271_s009_3_003|rfc4271_s010_3_1_001|rfc4271_s011_3_2_001|rfc4271_s048_8_1_2_001|rfc4271_s058_8_2_2_010|rfc4271_s081_6_003|rfc4271_s081_6_006|rfc4271_s026_4_002|rfc4271_s031_5_1_4_001|rfc4271_s073_9_2_2_2_002|rfc4271_s006_1_1_001|rfc4271_s006_1_1_002|rfc4271_s009_3_001|rfc4271_s015_4_3_001|rfc4271_s021_2_001|rfc4271_s024_6_001|rfc4271_s026_4_001|rfc4271_s029_5_1_2_001|rfc4271_s029_5_1_2_002|rfc4271_s030_5_1_3_001|ripe_ris_raw_data_s001_full_001|ripe_ris_raw_data_s001_full_002|routeviews_archive_index_s001_full_002|routeviews_archive_index_s001_full_003|routeviews_archive_index_s001_full_004|routeviews_archive_index_s001_full_001|routeviews_archive_index_s001_full_005,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_mechanism_route_leak_roles_otc,4,mechanism_route_leak_roles_otc,RoutingMechanism,BGP Roles and OTC Route Leak Prevention,approved,ready_without_manual_note,1,1,0,1,19,0,rfc9234,raw/standards/rfc9234.txt,parsed/standards/rfc9234.json,cleaned/standards/rfc9234.md,rfc9234_s018_8_001|rfc9234_s016_6_001|rfc9234_s008_4_2_002|rfc9234_s014_2_001|rfc9234_s015_4_001|rfc9234_s002_1_001|rfc9234_s005_3_1_001|rfc9234_s005_3_1_002|rfc9234_s006_4_001|rfc9234_s008_4_2_001|rfc9234_s009_5_001|rfc9234_s002_1_002|rfc9234_s021_9_2_001|rfc9234_s018_8_002|rfc9234_s007_4_1_001|rfc9234_s017_7_001|rfc9234_s003_2_001|rfc9234_s004_3_001|rfc9234_s019_9_1_001,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_mechanism_update_withdrawal,5,mechanism_update_withdrawal,RoutingMechanism,BGP Update and Withdrawal Propagation,approved,ready_without_manual_note,3,3,0,3,132,0,rfc4271|ripe_ris_raw_data|bgpstream_docs,raw/data_docs/ripe_ris_raw_data.html|raw/standards/rfc4271.txt|raw/tools_docs/bgpstream_docs.html,parsed/data_docs/bgpstream_docs.json|parsed/data_docs/ripe_ris_raw_data.json|parsed/standards/rfc4271.json,cleaned/data_docs/bgpstream_docs.md|cleaned/data_docs/ripe_ris_raw_data.md|cleaned/standards/rfc4271.md,bgpstream_docs_s001_full_001|rfc4271_s010_3_1_001|rfc4271_s059_9_001|rfc4271_s005_1_001|rfc4271_s009_3_002|rfc4271_s009_3_003|rfc4271_s026_4_002|rfc4271_s069_9_2_1_1_001|rfc4271_s031_5_1_4_001|rfc4271_s022_4_4_001|rfc4271_s048_8_1_2_001|rfc4271_s058_8_2_2_010|rfc4271_s081_6_002|rfc4271_s081_6_005|rfc4271_s081_6_006|rfc4271_s021_2_003|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002|rfc4271_s021_2_002|rfc4271_s038_6_3_001|rfc4271_s061_9_1_1_001|ripe_ris_raw_data_s001_full_001|ripe_ris_raw_data_s001_full_002,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_mechanism_bgpsec_path_validation,6,mechanism_bgpsec_path_validation,RoutingMechanism,BGPsec Path Validation,approved,ready_without_manual_note,2,2,0,2,123,0,rfc8205|rfc6480,raw/standards/rfc6480.txt|raw/standards/rfc8205.txt,parsed/standards/rfc6480.json|parsed/standards/rfc8205.json,cleaned/standards/rfc6480.md|cleaned/standards/rfc8205.md,rfc6480_s007_2_3_001|rfc6480_s012_4_001|rfc6480_s002_1_003|rfc6480_s005_2_1_002|rfc6480_s008_2_4_001|rfc6480_s010_3_1_001|rfc6480_s015_4_3_001|rfc6480_s016_4_4_001|rfc6480_s035_8_001|rfc6480_s039_11_2_001|rfc6480_s026_7_2_001|rfc6480_s002_1_001|rfc6480_s006_2_2_002|rfc6480_s007_2_3_002|rfc6480_s014_4_2_001|rfc6480_s015_4_3_002|rfc6480_s002_1_002|rfc6480_s004_2_001|rfc6480_s011_3_2_001|rfc6480_s011_3_2_002|rfc8205_s048_8_4_003|rfc8205_s019_5_1_001|rfc8205_s019_5_1_002|rfc8205_s002_1_001|rfc8205_s045_8_1_002|rfc8205_s047_8_3_001|rfc8205_s039_2_001|rfc8205_s012_4_2_002|rfc8205_s036_7_4_001|rfc8205_s040_7_6_001,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_mechanism_rpki_to_router_delivery,7,mechanism_rpki_to_router_delivery,RoutingMechanism,RPKI-to-Router Delivery,approved,ready_without_manual_note,2,2,0,2,97,0,rfc8210|rfc6480,raw/standards/rfc6480.txt|raw/standards/rfc8210.txt,parsed/standards/rfc6480.json|parsed/standards/rfc8210.json,cleaned/standards/rfc6480.md|cleaned/standards/rfc8210.md,rfc6480_s012_4_001|rfc6480_s007_2_3_001|rfc6480_s010_3_1_001|rfc6480_s002_1_001|rfc6480_s015_4_3_002|rfc6480_s026_7_2_001|rfc6480_s004_2_001|rfc6480_s014_4_2_001|rfc6480_s023_4_001|rfc6480_s038_11_1_001|rfc6480_s039_11_2_001|rfc6480_s002_1_002|rfc6480_s004_2_002|rfc6480_s005_2_1_001|rfc6480_s006_2_2_001|rfc6480_s007_2_3_002|rfc6480_s008_2_4_001|rfc6480_s011_3_2_001|rfc6480_s011_3_2_002|rfc6480_s014_4_2_002|rfc8210_s007_4_001|rfc8210_s002_1_001|rfc8210_s006_3_001|rfc8210_s035_11_001|rfc8210_s041_15_2_001|rfc8210_s007_4_002|rfc8210_s009_5_1_003|rfc8210_s011_5_3_001|rfc8210_s013_5_5_001|rfc8210_s028_8_4_001,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_field_aggregator,8,field_aggregator,DataField,aggregator,approved,ready_without_manual_note,1,1,0,1,129,0,rfc4271,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,rfc4271_s021_2_001|rfc4271_s021_2_002|rfc4271_s026_4_002|rfc4271_s076_10_003|rfc4271_s006_1_1_002|rfc4271_s010_3_1_001|rfc4271_s012_4_001|rfc4271_s013_4_1_001|rfc4271_s014_4_2_001|rfc4271_s014_4_2_002|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002|rfc4271_s015_4_3_003|rfc4271_s019_2_001|rfc4271_s021_2_003|rfc4271_s023_4_5_001|rfc4271_s024_6_001|rfc4271_s029_5_1_2_002|rfc4271_s034_5_1_7_001|rfc4271_s035_6_001,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_field_asrank_rank,9,field_asrank_rank,DataField,asrank_rank,approved,ready_without_manual_note,1,1,0,1,7,0,caida_asrank_api,raw/data_docs/caida_asrank_api.html,parsed/data_docs/caida_asrank_api.json,cleaned/data_docs/caida_asrank_api.md,caida_asrank_api_s001_full_002|caida_asrank_api_s001_full_001|caida_asrank_api_s001_full_005|caida_asrank_api_s001_full_006|caida_asrank_api_s001_full_003|caida_asrank_api_s001_full_004|caida_asrank_api_s001_full_007,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_field_asrank_relationship,10,field_asrank_relationship,DataField,asrank_relationship,approved,ready_without_manual_note,2,2,0,2,22,0,caida_asrank_api|caida_as_relationships,raw/data_docs/caida_as_relationships.html|raw/data_docs/caida_asrank_api.html,parsed/data_docs/caida_as_relationships.json|parsed/data_docs/caida_asrank_api.json,cleaned/data_docs/caida_as_relationships.md|cleaned/data_docs/caida_asrank_api.md,caida_as_relationships_s001_full_002|caida_as_relationships_s001_full_011|caida_as_relationships_s001_full_013|caida_as_relationships_s001_full_001|caida_as_relationships_s001_full_003|caida_as_relationships_s001_full_004|caida_as_relationships_s001_full_005|caida_as_relationships_s001_full_006|caida_as_relationships_s001_full_007|caida_as_relationships_s001_full_009|caida_as_relationships_s001_full_010|caida_as_relationships_s001_full_012|caida_as_relationships_s001_full_014|caida_as_relationships_s001_full_015|caida_as_relationships_s001_full_008|caida_asrank_api_s001_full_001|caida_asrank_api_s001_full_006|caida_asrank_api_s001_full_002|caida_asrank_api_s001_full_005|caida_asrank_api_s001_full_003|caida_asrank_api_s001_full_004|caida_asrank_api_s001_full_007,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_field_atomic_aggregate,11,field_atomic_aggregate,DataField,atomic_aggregate,approved,ready_without_manual_note,1,1,0,1,129,0,rfc4271,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,rfc4271_s021_2_001|rfc4271_s026_4_002|rfc4271_s076_10_003|rfc4271_s033_5_1_6_001|rfc4271_s066_9_1_4_002|rfc4271_s073_9_2_2_2_003|rfc4271_s076_10_002|rfc4271_s081_6_008|rfc4271_s021_2_002|rfc4271_s006_1_1_002|rfc4271_s010_3_1_001|rfc4271_s012_4_001|rfc4271_s013_4_1_001|rfc4271_s014_4_2_001|rfc4271_s014_4_2_002|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002|rfc4271_s015_4_3_003|rfc4271_s019_2_001|rfc4271_s021_2_003,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_field_bgp_identifier,12,field_bgp_identifier,DataField,bgp_identifier,approved,ready_without_manual_note,1,1,0,1,129,0,rfc4271,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,rfc4271_s014_4_2_001|rfc4271_s014_4_2_002|rfc4271_s021_2_002|rfc4271_s024_6_001|rfc4271_s037_6_2_001|rfc4271_s081_6_009|rfc4271_s006_1_1_001|rfc4271_s034_5_1_7_001|rfc4271_s043_6_8_001|rfc4271_s043_6_8_002|rfc4271_s052_8_2_1_001|rfc4271_s076_10_002|rfc4271_s076_10_004|rfc4271_s006_1_1_002|rfc4271_s010_3_1_001|rfc4271_s012_4_001|rfc4271_s013_4_1_001|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002|rfc4271_s015_4_3_003,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_field_bgp_role,13,field_bgp_role,DataField,bgp_role,approved,ready_without_manual_note,1,1,0,1,19,0,rfc9234,raw/standards/rfc9234.txt,parsed/standards/rfc9234.json,cleaned/standards/rfc9234.md,rfc9234_s002_1_001|rfc9234_s005_3_1_001|rfc9234_s006_4_001|rfc9234_s007_4_1_001|rfc9234_s008_4_2_001|rfc9234_s008_4_2_002|rfc9234_s015_4_001|rfc9234_s016_6_001|rfc9234_s017_7_001|rfc9234_s018_8_001|rfc9234_s002_1_002|rfc9234_s003_2_001|rfc9234_s004_3_001|rfc9234_s005_3_1_002|rfc9234_s009_5_001|rfc9234_s014_2_001|rfc9234_s018_8_002|rfc9234_s019_9_1_001|rfc9234_s021_9_2_001,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_field_customer_cone_asns,14,field_customer_cone_asns,DataField,customer_cone_asns,approved,ready_without_manual_note,2,2,0,2,22,0,caida_asrank_api|caida_as_relationships,raw/data_docs/caida_as_relationships.html|raw/data_docs/caida_asrank_api.html,parsed/data_docs/caida_as_relationships.json|parsed/data_docs/caida_asrank_api.json,cleaned/data_docs/caida_as_relationships.md|cleaned/data_docs/caida_asrank_api.md,caida_as_relationships_s001_full_007|caida_as_relationships_s001_full_008|caida_as_relationships_s001_full_009|caida_as_relationships_s001_full_010|caida_as_relationships_s001_full_011|caida_as_relationships_s001_full_013|caida_as_relationships_s001_full_014|caida_as_relationships_s001_full_015|caida_as_relationships_s001_full_004|caida_as_relationships_s001_full_005|caida_as_relationships_s001_full_012|caida_as_relationships_s001_full_001|caida_as_relationships_s001_full_002|caida_as_relationships_s001_full_003|caida_as_relationships_s001_full_006|caida_asrank_api_s001_full_002|caida_asrank_api_s001_full_003|caida_asrank_api_s001_full_004|caida_asrank_api_s001_full_005|caida_asrank_api_s001_full_007|caida_asrank_api_s001_full_001|caida_asrank_api_s001_full_006,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_field_hold_time,15,field_hold_time,DataField,hold_time,approved,ready_without_manual_note,1,1,0,1,129,0,rfc4271,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,rfc4271_s014_4_2_001|rfc4271_s024_6_001|rfc4271_s037_6_2_001|rfc4271_s040_6_5_001|rfc4271_s058_8_2_2_009|rfc4271_s058_8_2_2_010|rfc4271_s076_10_004|rfc4271_s081_6_009|rfc4271_s022_4_4_001|rfc4271_s058_8_2_2_004|rfc4271_s058_8_2_2_006|rfc4271_s058_8_2_2_007|rfc4271_s058_8_2_2_012|rfc4271_s058_8_2_2_015|rfc4271_s081_6_008|rfc4271_s045_8_001|rfc4271_s046_10_001|rfc4271_s047_8_1_1_001|rfc4271_s047_8_1_1_002|rfc4271_s047_8_1_1_004,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_field_local_pref,16,field_local_pref,DataField,local_pref,approved,ready_without_manual_note,1,1,0,1,129,0,rfc4271,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,rfc4271_s021_2_001|rfc4271_s026_4_002|rfc4271_s076_10_003|rfc4271_s006_1_1_002|rfc4271_s032_5_1_5_001|rfc4271_s038_6_3_003|rfc4271_s059_9_001|rfc4271_s061_9_1_1_001|rfc4271_s081_6_001|rfc4271_s081_6_008|rfc4271_s010_3_1_001|rfc4271_s014_4_2_002|rfc4271_s015_4_3_002|rfc4271_s021_2_002|rfc4271_s021_2_003|rfc4271_s029_5_1_2_002|rfc4271_s031_5_1_4_001|rfc4271_s035_6_001|rfc4271_s037_6_2_001|rfc4271_s038_6_3_002,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_field_med,17,field_med,DataField,med,approved,ready_without_manual_note,1,1,0,1,129,0,rfc4271,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,rfc4271_s021_2_002|rfc4271_s023_4_5_001|rfc4271_s024_6_001|rfc4271_s038_6_3_001|rfc4271_s038_6_3_002|rfc4271_s038_6_3_003|rfc4271_s058_8_2_2_009|rfc4271_s076_10_003|rfc4271_s081_6_009|rfc4271_s006_1_1_002|rfc4271_s008_2_001|rfc4271_s009_3_003|rfc4271_s009_3_004|rfc4271_s010_3_1_001|rfc4271_s012_4_001|rfc4271_s013_4_1_001|rfc4271_s014_4_2_001|rfc4271_s014_4_2_002|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_field_mrt_file_type,18,field_mrt_file_type,DataField,mrt_file_type,approved,ready_without_manual_note,2,2,0,2,7,0,ripe_ris_raw_data|routeviews_archive_index,raw/data_docs/ripe_ris_raw_data.html|raw/data_docs/routeviews_archive_index.html,parsed/data_docs/ripe_ris_raw_data.json|parsed/data_docs/routeviews_archive_index.json,cleaned/data_docs/ripe_ris_raw_data.md|cleaned/data_docs/routeviews_archive_index.md,ripe_ris_raw_data_s001_full_001|ripe_ris_raw_data_s001_full_002|routeviews_archive_index_s001_full_001|routeviews_archive_index_s001_full_004|routeviews_archive_index_s001_full_002|routeviews_archive_index_s001_full_003|routeviews_archive_index_s001_full_005,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_field_next_hop,19,field_next_hop,DataField,next_hop,approved,ready_without_manual_note,1,1,0,1,129,0,rfc4271,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,rfc4271_s021_2_001|rfc4271_s024_6_001|rfc4271_s026_4_002|rfc4271_s038_6_3_002|rfc4271_s076_10_003|rfc4271_s076_10_004|rfc4271_s081_6_009|rfc4271_s011_3_2_001|rfc4271_s011_3_2_002|rfc4271_s030_5_1_3_001|rfc4271_s030_5_1_3_002|rfc4271_s030_5_1_3_003|rfc4271_s062_9_1_2_001|rfc4271_s062_9_1_2_002|rfc4271_s063_9_1_2_1_001|rfc4271_s064_9_1_2_2_001|rfc4271_s064_9_1_2_2_003|rfc4271_s064_9_1_2_2_004|rfc4271_s065_9_1_3_001|rfc4271_s066_9_1_4_001,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_field_nlri,20,field_nlri,DataField,nlri,approved,ready_without_manual_note,1,1,0,1,129,0,rfc4271,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,rfc4271_s006_1_1_002|rfc4271_s010_3_1_001|rfc4271_s021_2_003|rfc4271_s026_4_002|rfc4271_s038_6_3_003|rfc4271_s059_9_001|rfc4271_s012_4_001|rfc4271_s013_4_1_001|rfc4271_s014_4_2_001|rfc4271_s014_4_2_002|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002|rfc4271_s015_4_3_003|rfc4271_s019_2_001|rfc4271_s021_2_001|rfc4271_s021_2_002|rfc4271_s023_4_5_001|rfc4271_s024_6_001|rfc4271_s026_4_001|rfc4271_s029_5_1_2_002,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
packet_field_origin_attribute,21,field_origin_attribute,DataField,origin_attribute,approved,ready_without_manual_note,1,1,0,1,129,0,rfc4271,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,rfc4271_s024_6_001|rfc4271_s038_6_3_001|rfc4271_s081_6_009|rfc4271_s006_1_1_002|rfc4271_s010_3_1_001|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002|rfc4271_s015_4_3_003|rfc4271_s019_2_001|rfc4271_s021_2_001|rfc4271_s021_2_002|rfc4271_s021_2_003|rfc4271_s026_4_002|rfc4271_s029_5_1_2_002|rfc4271_s038_6_3_002|rfc4271_s038_6_3_003|rfc4271_s047_8_1_1_004|rfc4271_s058_8_2_2_004|rfc4271_s058_8_2_2_007|rfc4271_s058_8_2_2_009,打开 cleaned_path 或 parsed_path，核对实体定义和关键字段是否被来源直接支持。|检查 chunk_sample_ids 是否覆盖定义、适用范围、限制或误报边界。|确认 source_refs 中每个来源是否仍应保留，缺少直接证据时保持 pending。|人工确认通过后，再把实体 review_status 从 pending 改为 approved。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,scripts/build_entity_review_packets.py
